player_id,handle,first_name,last_name,league,region,team_name,agent_role,total_games,total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,total_headshot,total_avg_dmg_rnd,total_rating,international_games,international_kills,international_deaths,international_assists,international_first_kills,international_first_deaths,international_headshot,international_avg_dmg_rnd,international_rating
111888916062020790,ph1vu,Phi Vu,Nguyen,VCT Challengers,Pacific,Dominus Esports,Sentinel,7,104,113,36,9,12,0.28285714285714286,138.81142857142856,0.3467859406916954,0,0,0,0,0,0,0.0,0.0,0.0
110110867414501379,sw,Jadisson,Rayan,VCT Challengers,Americas,CoOp,Controller,42,518,611,292,68,87,0.22117647058823528,115.26058823529412,0.35637668170081244,0,0,0,0,0,0,0.0,0.0,0.0
112007907963650802,esmonde,Esmonde Farm,Rui Siang,VCT Challengers,Pacific,Kizuna Esports,Controller,5,66,80,40,7,4,0.248,110.718,0.39991037131882207,0,0,0,0,0,0,0.0,0.0,0.0
112415962228942091,Jcz,Juan,Aranda,VCT Challengers,Americas,Oxen,Initiator,20,288,287,115,28,30,0.3075,125.9075,0.37019889899723324,0,0,0,0,0,0,0.0,0.0,0.0
108214523502707264,Patix,Patrik,Rozman,VCT Challengers,EMEA,Impulse GW,Initiator,18,216,248,95,28,33,0.3827777777777778,121.57777777777778,0.2964002466400124,0,0,0,0,0,0,0.0,0.0,0.0
109743103194634217,Owen q t,Fillarca,Lawrenz,VCT Challengers,Pacific,OLD STINKY CAT,Controller,85,1180,1234,763,147,154,0.26958333333333334,131.98127659574467,0.4120007879569843,0,0,0,0,0,0,0.0,0.0,0.0
110099892373897981,Lekyy,Simão,Noronha,VCT Challengers,EMEA,Fuzos Na Via,Flex,24,279,363,89,45,72,0.2964705882352941,106.51823529411764,0.30044705732133525,0,0,0,0,0,0,0.0,0.0,0.0
111935779115407611,free1ng,Hajun,Noh,VCT Challengers,Pacific,DWG KIA,Sentinel,48,819,674,206,109,78,0.3622916666666667,150.34106382978723,0.3731961137461519,0,0,0,0,0,0,0.0,0.0,0.0
111799933933442501,AuloekXD,Ji-Yuan,Wan,VCT Challengers,Pacific,FiveAce eSports,Controller,17,199,264,136,18,24,0.29705882352941176,109.67588235294117,0.3460410975292105,0,0,0,0,0,0,0.0,0.0,0.0
109760478394282932,Reverie,Steven,Kang,VCT Challengers,Pacific,Kizuna Esports,Initiator,36,478,557,213,59,62,0.2744444444444445,120.06888888888888,0.3941662625419783,0,0,0,0,0,0,0.0,0.0,0.0
111800070528816662,Dizzy,Yi-Feng,Lin,VCT Challengers,Pacific,HKUF,Initiator,30,405,444,185,57,70,0.277,125.173,0.4026799399888495,0,0,0,0,0,0,0.0,0.0,0.0
112050555680224399,panique,panique,panique,VCT Challengers,Americas,CoOp,Sentinel,8,46,112,22,7,15,0.16428571428571428,60.83875,0.17982077151335313,0,0,0,0,0,0,0.0,0.0,0.0
112087968759038809,nahsie,Eishan,Jaffer,VCT Challengers,Americas,Winthrop University,Initiator,27,300,421,217,30,50,0.22499999999999998,107.69500000000001,0.3147294069049859,0,0,0,0,0,0,0.0,0.0,0.0
112428803812143535, woody,Lingardi ,Putra,VCT Challengers,Pacific,ARF TEAM,Initiator,23,375,328,206,30,23,0.32652173913043475,151.66652173913045,0.3711218444614479,0,0,0,0,0,0,0.0,0.0,0.0
112484696880975631,KiN0,Bo Xun,KE,VCT Challengers,Pacific,One Team Esports,Controller,3,37,48,21,3,5,0.33666666666666667,95.31666666666666,0.3562162162162162,0,0,0,0,0,0,0.0,0.0,0.0
